album,song_title,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
Fearless (Taylor's Version),fearless (taylor's version),True,False,fearless taylors version,57,F-C-Gm-A#,F-C-Gm-A#,NONE,F-C-Gm-A#-C,Gm-A#-F-C,D#-F-Gm-F-A#-C,F-C-Gm-A#
Fearless (Taylor's Version),the way i loved you (taylor's version),False,False,the way i loved you taylors version,58,F-C-Gm-A#-A#m,F-C-Gm-A#,NONE,F-C-Gm-A#-C,NONE,Gm-A#-F-C,Gm-A#-C-F
Midnights,high infidelity,False,False,high infidelity,127,NONE,A#-Gm-D#-A#-F,NONE,A#-Gm-D#-F-A#,A#-F-Cm,NONE,A#-Gm-D#-A#-F
Fearless (Taylor's Version),untouchable (taylor's version),False,False,untouchable taylors version,60,Gm-A#-F-C,Gm-A#-F-C,A#-C,F-C-Gm-A#-F-C,Gm-A#-F-C,NONE,C-Gm-A#-C
Fearless (Taylor's Version),change (taylor's version),False,False,change taylors version,71,F-C-Dm-A#,F-C-Dm-A#,Dm-A#-C,F-C-Dm-A#-F,NONE,F-C-Dm-A#-F,F-C-Dm-A#
Reputation,i did something bad,False,False,i did something bad,170,Gm,Gm-A#-D#-Cm-F,Gm-F-D#-Cm-F,Gm-A#-D#-Cm,NONE,GmG-Dm-D#-Cm-F,Gm-A#-D#-Cm-F
Fearless (Taylor's Version),bye bye baby (taylor's version) (from the vault),False,False,bye bye baby taylors version from the vault,62,A#-C-F-Dm,A#-C-F-Dm-A#-C,NONE,F-C-Dm-A#-F,NONE,A#-C-Dm-F-C-Dm-G-A#-C,NONE
Taylor Swift,the outside,False,False,the outside,24,F-C-Gm-A#,F-C-A#-Gm-A#,NONE,F-C-A#-Gm-A#-C,F-C-A#-Gm-A#-C,NONE,NONE
1989 (Taylor's Version),say don't go (taylor's version) (from the vault),False,False,say dont go taylors version from the vault,6,E,E-C#m-A-E,A-E-B,A-E-B,NONE,A-E-B,A-E-B
RED (Taylor's Version),red (taylor's version),False,False,red taylors version,144,A-C#m-B,A-C#m-B,NONE,A-E-B-A-C#m-B,A-C#m-B-E-B,A-B,A-C#m-B
The Tortured Poets Department,fresh out the slammer,False,False,fresh out the slammer,229,A-F#m-D,A-F#m-D,NONE,A-F#m-D,NONE,NONE,D-A-F#m-D
Midnights,glitch,False,False,glitch,126,NONE,A-F#m-A-F#m-D-E,NONE,A-F#m-D-E,NONE,D-E-A-F#m,NONE
RED (Taylor's Version),babe (taylor's version) (from the vault),False,False,babe taylors version from the vault,141,E-A-C#m-B,E-A-C#m-B,E-A-C#m-B,C#m-B-E-A,NONE,E-C#m-B-A-A,E-A-C#m-B
RED (Taylor's Version),state of grace (taylor's version),False,False,state of grace taylors version,151,E-B-A-E-A,E-A,E-E-A,E-A-E-A,NONE,E-A-F#m-G#m-A,E-A-F#m-A
Evermore,closure,False,False,closure,53,D-E-A-D,D-E-A-D-F#m,NONE,D-E-A-D-F#m,NONE,D-E-A-D-D-E-F#m-D,NONE
1989 (Taylor's Version),this love (taylor's version),False,False,this love taylors version,4,E-B-C#m-A,A-E,A-C#m-A,E-B-C#m-A,E-B-C#m-A,B-C#m-A-E,NONE
Fearless (Taylor's Version),forever & always (piano version) (taylor’s version),False,False,forever & always piano version taylor’s version,72,D-A-E,D-A-E,NONE,D-A-E-F#m,F#m-A-D-E,F#m-D-E-F#m-D-A-E,F#m-A-D
Fearless (Taylor's Version),the other side of the door (taylor's version),False,False,the other side of the door taylors version,75,E-B-F#m-A,E-B-F#m-A,D-E-F#m-B,E-B-F#m-A,NONE,F#m-A-E-B,B-F#m-A-E-B-F#m-D
The Tortured Poets Department,i can fix him (no really i can),False,False,i can fix him no really i can,230,NONE,D-E-B,NONE,D-E-C#m-F#m,NONE,D-E-C#m-F#m,NONE
Evermore,gold rush,False,False,gold rush,48,F#m-D,F#m-D-C#m-E,G-D-A,F#m-D-C#m-E,D-A-G-D-E,NONE,F#m-D-C#m-E
Midnights,snow on the beach,False,False,snow on the beach,130,NONE,A-F#m-D-A-E,NONE,F#m-D-C#m-A-E,F#m-D-C#m-A-E,F#m-D-A-E,F#m-D-A-E
RED (Taylor's Version),i almost do (taylor's version),False,False,i almost do taylors version,146,A-E-B-C#m,A-E-B-C#m-B,NONE,A-E-B-A-C#mA-E,A-E-B,C#m-A-B-E,A-E-B-C#m-B
Midnights,you're on your own kid,False,False,youre on your own kid,128,NONE,E-G#m-A-E,A-B-E-C#m,B-E,NONE,A-B-E-C#m,NONE
Folklore,this is me trying,False,False,this is me trying,92,A-D,A-D-A-G#m-F#m,NONE,F#m-D-A,A-D-A-G#m,F#m-D-E,A
RED (Taylor's Version),holy ground (taylor's version),False,False,holy ground taylors version,148,E,E-A-E-C#m-B,NONE,B-C#m-A-E-A,A-C#m-B,E-A-E-A,E-A-C#m-B
The Tortured Poets Department,imgonnagetyouback,False,False,imgonnagetyouback,225,A,F#m-D-A,NONE,A-D-A-F#m,D-A-E,F#m-D-A-E,NC
Midnights,anti-hero,False,False,antihero,131,NONE,A-E-B-C#m,A-E-B-C#m,A-E-B-C#m,NONE,A-E-B-C#m,NONE
RED (Taylor's Version),starlight (taylor's version),False,False,starlight taylors version,145,CHORUS,A-B-A-B,NONE,A-B-E-C#m,NONE,A-B-G#mBm-B,A-B-G#m-C#m
1989 (Taylor's Version),clean (taylor's version),False,False,clean taylors version,8,E-B-C#m-A,E-B-C#m-A,B-A,E-B-C#m-A,Bm-C#m-A-E,E-A-B-C#m-A,B-C#m-A-E
Evermore,dorthea,False,False,dorthea,40,E-B-A-B,E-B-A,F#m-C#m,E-B-A-B,F#m-C#m-E-B,NONE,F#m-C#m-E-B
Midnights,mastermind,False,False,mastermind,129,E,E-A,A-E-A-F#m,C#m-A-B-E-D#,NONE,E-A-G#m-E-A-B,NONE
RED (Taylor's Version),the lucky one (taylor's version),True,False,the lucky one taylors version,137,E,E-C#m-A-E-B,A,E-B-A-B-A-E,NONE,NONE,NONE
Evermore,tolerate it,False,False,tolerate it,44,D-E-A,D-E-A,NONE,A-D-F#m-E,NONE,D-F#m-E-F#m,E
1989 (Taylor's Version),you are in love (taylor's version),False,False,you are in love taylors version,7,A-D-F#m-D,A-D-F#m-D,NONE,A-D-F#m-D,NONE,A-D-F#m-D,A-D-F#m-D
The Tortured Poets Department,so long london,True,True,so long london,228,D-Bm-E-A,D-Bm-E-A,NONE,D-Bm-E-A,NONE,A-E-Bm-F#m,Bm-D-A-E
RED (Taylor's Version),better man (taylor's version) (from the vault),False,False,better man taylors version from the vault,165,E-B-A,E-B-A-B-A,A-B-A,E-B_Bm-B-A,NONE,A-B-C#m-B-A,B-A-C#m-B-E
Taylor Swift,a perfectly good heart,False,False,a perfectly good heart,23,CHORUS,A-E-E,F#m-E-F#m-A-B,E-B-C#m-E-B,NONE,E-B-A-B,NONE
RED (Taylor's Version),come back be here (taylor's version),False,False,come back be here taylors version,140,E,E-C#m-A,B-C#m-A-B,E-B-C#m-A-E-B,B-C#m-A-E,A-C#m-B,E-B-C#m-A
Reputation,call it what you want,False,False,call it what you want,176,NONE,F#m-A-E-Dadd9-F#m,NONE,Dadd9-A-F#m-E-Esus4-E,NONE,Dadd9-A-F#m-E-Esus4-E,Dadd9-A-F#m-E
The Tortured Poets Department,i look in people's windows,False,True,i look in peoples windows,226,C#m-A,C#m-A,C#m-A,C#m-B-A,NONE,NONE,NONE
The Tortured Poets Department,but daddy i love him,True,False,but daddy i love him,227,NONE,B-A-E-B,C#m-A-E-B,E-A-B-A,NONE,C#m-A-,A-B-A-E
The Tortured Poets Department,the prophecy,False,False,the prophecy,224,Cm-F##m-D#-A#,Cm-F##m-D#-A#,NONE,F-F##m-D#-A#,NONE,D#-A#-F-D#,F##m-D#-A#-F
RED (Taylor's Version),run (taylor's version) (from the vault),False,False,run taylors version from the vault,159,D#-G#-D#-G#,D#-G#-A#-D#-G#,Fm-Cm-D#-A#,D#-G#-Cm-A#,G#-A#-Cm-G#-D#-G#,NONE,G#-D#
Reputation,dancing with our hands tied,False,False,dancing with our hands tied,171,Fm -Cm7-G#-A#sus2,Fm-Cm-G#-G#,Fm-Cm7-G#-G#,Fm-Cm7-G#-G#-A#sus2,NONE,Cm-G#-G#-A#sus2-Fm,Fm-Cm7-G#-G#-A#sus2-Cm
Midnights,lavender haze,False,False,lavender haze,136,D#-F-Cm,D#-F-Cm,D#-F-Cm-Cm,D#-F-Cm,NONE,D#-F-Cm-Cm,Cm-Cm-D#-F-Cm
Midnights,karma,False,False,karma,135,D#-C#-C#-Fm,Cm-C#-C#-Fm,Cm-C#-C#-Fm,D#-C#-C#-G#,NONE,Cm-G#-F##m-A#,NONE
