album,song_title,writers,capo,intro_chords,verse_chords,verse_lyrics,pre_chorus_chords,pre-chorus_lyrics,chorus_chords,chorus_lyrics,post_chorus_chords,Post_Chorus_Lyrics,bridge_chords,bridge_lyrics,outro_chords,outro_lyrics,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
Folklore,my tears richochet,Taylor Swift,0,Am-G-Em-F,Am-G-Em-F,We gather here  we line up  weepin' in a sunlit room/And if I'm on fire  you'll be made of ashes  too/Even on my worst day  did I deserve  babe/All the hell you gave me?/'Cause I loved you  I swear I loved you/'Til my dying day,NONE,NONE,C-Dm-Am-F,I didn't have it in myself to go with grace/And you're the hero flying around  saving face/And if I'm dead to you  why are you at the wake?/Cursing my name  wishing I stayed/Look at how my tears ricochet,NONE,NONE,C-Dm-Am-F,And I can go anywhere I want/Anywhere I want  just not home/And you can aim for my heart  go for blood/But you would still miss me in your bones/And I still talk to you  (When I'm screaming at the sky)/And when you can't sleep at night (You hear my stolen lullabies),C-Dm-Am-F,NONE,False,False,my tears richochet,85,Am-G-Em-F,Am-G-Em-F,NONE,C-Dm-Am-F,NONE,C-Dm-Am-F,C-Dm-Am-F
Reputation,delicate,Taylor Swift Max Martin Shellback,0,CHORUS,C-Dm-Am-F,Dive bar on the east side  where you at?/Phone lights up my nightstand in the black/Come here  you can meet me in the back/Dark jeans and your Nikes  look at you/Oh damn  never seen that color blue/Just think of the fun things we could do,NONE,NONE,C-Dm-Am-F,(‘Cause I like you) This ain't for the best/My reputation's never been worse  so/You must like me for me/(Yeah  I want you) We can't make/   Any promises now  can we babe?/But you can make me a drink,C-Dm-Am-F,Is it cool that I said all that?Is it chill that you're in my head?/‘Cause I know that it's delicate  (delicate)/Is it cool that I said all that/Is it too soon to do this yet?/‘Cause I know that it's delicate/Isn’t it? Isn't it? Isn't it? (Isn't it? Isn't it?)/Isn’t it? (Isn't it? Isn't it?)/Isn’t it? Isn't it? Isn't it? (Isn't it? Isn't it?)/Isn’t it? Delicate,NONE,NONE,C-Dm-Am-F,(‘Cause I like you)/Is it cool that I said all that? (isn't it)/Is it chill that you're in my head? (isn't it  isn't it)/‘Cause I know that it's delicate (isn't it) (delicate)/(Yeah  I want you)/ Is it cool that I said all that (isn't it)/Is it too soon to do this yet? (isn't it  isn't it)/‘Cause I know that it's delicate (isn't it) (delicate),False,False,delicate,173,CHORUS,C-Dm-Am-F,NONE,C-Dm-Am-F,C-Dm-Am-F,NONE,C-Dm-Am-F
Fearless (Taylor's Version),come in with the rain (taylor's version),Taylor Swift Liz Rose,0,D-A-Em-G,D-A-Em-G,I could go back to every laugh/But I don't wanna go there anymore/And I know all the steps up to your door/But I don't wanna go there anymore,Em-D-G-A,Talk to the wind  talk to the sky/Talk to the man with the reasons why/ And let me know what you find,C-D-G-Em,I'll leave my window open/’Cause I'm too tired at night to call your name/Just know  I'm right here hopin’/That you'll come in with the rain,NONE,NONE,Em-G-D-A,I've watched you so long/Screamed your name/I don't know what else I can say,D-A-Em-D,I could go back to every laugh/But I don't wanna go there anymore,False,False,come in with the rain taylors version,56,D-A-Em-G,D-A-Em-G,Em-D-G-A,C-D-G-Em,NONE,Em-G-D-A,D-A-Em-D
Evermore,closure,Taylor Swift  Aaron Dessner,2,C-D-G-C,C-D-G-C-Em,It’s been a long time/ And seeing the shape of  your name/Still spells out pain/ It wasn't right/The way it all went down/ Looks like you know that now,NONE,NONE,C-D-G-C-Em,Yes  I got your letter/Yes  I'm doing better/It cut deep to know ya  right to the bone/Yes  I got your letter/Yes  I'm doing better/I know that it's over  I don't need your/Closure   your closure,NONE,NONE,C-D-G-C-C-D-Em-C,I know I'm just a wrinkle in your new life/ Staying friends would  iron it out so nice/ Guilty  guilty  reaching out across the sea/ That you put between you and me/ But it's fake and it's oh-so unnecessary,NONE,NONE,False,False,closure,53,D-E-A-D,D-E-A-D-F#m,NONE,D-E-A-D-F#m,NONE,D-E-A-D-D-E-F#m-D,NONE
Midnights,paris,Taylor Swift Jack Antonoff,0,C-D-G-Em,C-D-G,Your ex-friend's sister/ Met someone at a club and he kissed her/ Turns out it was that guy you hooked up with ages ago/Some wannabe Z-lister/And all the outfits were terrible/2003 unbearable/Did you see the photos?,C-D-G,I'm so in love that I might stop breathing/Drew a map on your bedroom ceiling/No I didn't see the news,C-D-G,Like we were in Paris/Like we were somewhere else/Like we were in Paris oh/We were somewhere else,NONE,NONE,C-D-G,I wanna brainwash you/Into loving me forever/I wanna transport you/To somewhere the culture's clever/Confess my truth,C-D-G,NONE,False,False,paris,120,C-D-G-Em,C-D-G,C-D-G,C-D-G,NONE,C-D-G,C-D-G
RED (Taylor's Version),begin again (taylor's version),Taylor Swift,0,G,G-C-G-C,Took a deep breath in the mirror/He didn't like it when I wore high heels but I do/Turn the lock and put my headphones on/He always said he didn't get this song but I do I do,NONE,NONE,C-D-Em-G,And you throw your head back laughin' like a little kid/I think it's strange that you think I'm funny 'cause he never did/I’ve been spendin' the last eight months/Thinkin’ all love ever does is break and burn and end/But on a Wеdnesday in a café I watched it begin again,NONE,NONE,C-D-Bm-C,And we walked down the block to my car/And I almost brought him up/But you start to talk about the movies/That your family watches every single Christmas/And I wanna talk about that/And for the first time what's past is past,C-D-NC,On a Wednesday in a café I watched it begin again,True,False,begin again taylors version,161,G,G-C-G-C,NONE,C-D-Em-G,NONE,C-D-Bm-C,C-D-NC
The Tortured Poets Department,fortnight (featuring post malone),Taylor Swift Jack Antonoff Austin Post,4,G,C-D-Bm-Em,I was supposed to be sent away/But they forgot to come and get me/I was a functioning alcoholic/'Til nobody noticed my new aesthetic/All of this to say I hope you're okay/But you're the reason/And no one here's to blAme/But what about your quiet treason?,NONE,NONE,C-D-Bm-Em,And for a fortnight there we were/Forever running 'til you sometimes ask about/The weather and now you're in my backyard turned into good neighbors/Your wife waters flowers/I want to kill her,NONE,NONE,C-D-Bm-Em,I love you it's ruining my life I love you it's ruining my life/I touched you for only a fortnight I touched you I touched you/I love you it's ruining my life I love you it's ruining my life/I touched you for only a fortnight I touched you I touched you,C-D-Bm-Em,Thought of calling ya but you won't pick up/Another fortnight lost in America/Move to Florida buy the car you want/But it won't start up 'til you touch touch touch me/Thought of calling ya but you won't pick up,False,False,fortnight featuring post malone,222,B,E-F#-D#m-G#m,NONE,E-F#-D#m-G#m,NONE,E-F#-D#m-G#m,E-F#-D#m-G#m
The Tortured Poets Department,i can fix him (no really i can),Taylor Swift Jack Antonoff,2,NONE,C-D-A,The smoke cloud billows out his mouth like a freight train through a small town/The jokes that he told across the bar were revolting and far too loud,NONE,none,C-D-Bm-Em,They shake their heads saying 'God help her' when I tell 'Em he's my man/But your good lord doesn't need to lift a finger/I can fix him no really I can/And only I can,NONE,NONE,C-D-Bm-Em,Good boy that's right/Come close/I’ll show you Heaven if you'll be an angel all mine/Trust me I can handle me a dangerous man/No really I can,NONE,NONE,False,False,i can fix him no really i can,230,NONE,D-E-B,NONE,D-E-C#m-F#m,NONE,D-E-C#m-F#m,NONE
Reputation,gorgeous,Taylor Swift Max Martin Shellback,0,C,C-C-G-Am-F-G,You should take it as a compliment/That I got drunk and made fun of the way you talk/You should think about the consequence/Of your magnetic field being a little too strong/And I got a boyfriend  he's older than us/He’s in the club doing I don't know what/You’re so cool it makes me hate you so much/(I hate you so much),F7/C-Em-F-Em-G,"Whiskey on ice, sunset and vine/You’ve ruined my life by not being in mine",C-C/Am/F/G,You’re so gorgeous/I can't say anything to your face/‘Cause look at your face/And I'm so furious/At you for making me feel this way/But what can I say? You're gorgeous,NONE,NONE,F-Am-G-Dm,You make me so happy it turns back to sad  yeah/There’s nothing I hate more than what I can't have/You are so gorgeous it makes me so mad/You make me so happy it turns back to sad  yeah/There’s nothing I hate more than what I can't have/Guess I'll just stumble on home to my cats/Alone  unless you wanna come along  oh!,C-C-Am-F,You make me so happy it turns back to sad  yeah/There’s nothing I hate more than what I can't have/You are so gorgeous it makes me so mad/You’re gorgeous/You make me so happy it turns back to sad  yeah/There’s nothing I hate more than what I can't have/You are so gorgeous it makes me so mad/You’re gorgeous,False,False,gorgeous,179,C,C-C-G-Am-F-G,F7/C-Em-F-Em-G,C-C/Am/F/G,NONE,F-Am-G-Dm,C-C-Am-F
The Tortured Poets Department,loml,Taylor Swift Aaron Dessner,0,C-Am-G,C-Am-G,Who's gonna stop us from waltzing back into rekindled flAmes/If we know the steps anyway/We Embroidered the mEmories of the time I was away/Stitching 'We were just kids babe’/I said 'I don't mind it takes time’/I thought I was better safe than starry-eyed/I felt a glow like this never before and never since,NONE,NONE,C-Am-G,If you know it in one glimpse it's legendary/You and I go from one kiss to getting married/Still alivе killing time at the cEmеtery/Never quite buried,F-Am-G-C-Am-G,And your suit and tie in the nick of time/You low-down boy you stand-up guy/Holy ghost you told me I'm the love of your life/You said I'm the love of your life/About a million times,Dm-Em-F-G-C,You shit-talked me under the table/Talking rings and talking cradles/I wish I could unrecall/How we almost had it all/Dancing phantoms on the terrace/Are they second-hand Embarrassed,NONE,NONE,False,False,loml,211,C-Am-G,C-Am-G,NONE,C-Am-G,F-Am-G-C-Am-G,Dm-Em-F-G-C,NONE
