album,song_title,writers,capo,intro_chords,verse_chords,verse_lyrics,pre_chorus_chords,pre-chorus_lyrics,chorus_chords,chorus_lyrics,post_chorus_chords,Post_Chorus_Lyrics,bridge_chords,bridge_lyrics,outro_chords,outro_lyrics,multi_verse,multi_bridge,core_title,common_id,intro_chordsTransposed,verse_chordsTransposed,pre_chorus_chordsTransposed,chorus_chordsTransposed,post_chorus_chordsTransposed,bridge_chordsTransposed,outro_chordsTransposed
Folklore,seven,Taylor Swift  Aaron Dessner,0,NONE,G-Dm-C,Please picture me in the trees/I hit my peak at seven/Feet in the swing over the creek/I was too scared to jump in/But I  I was high in the sky/With Pennsylvania under me/Are there still beautiful things?/NONE,NONE,Sweet tea in the summer/Cross your heart  won't tell no other/And though I can’t recall your face/I still got love for you/Your braids like a pattern/Love you to the Moon and to Saturn/Passed down like folk songs/The love lasts so long,Dm-C-F-G,NONE,NONE,NONE,Am-C-G,And I've been meaning to tell you/I think your house is haunted/Your dad is always mad and that must be why/And I think you should come live with me/And we can be pirates/Then you won't have to cry/Or hide in the closet/And just like a folk song/Our love will be passed on,Am-C-G-C,NONE,False,False,seven,87,NONE,G-Dm-C,NONE,Dm-C-F-G,NONE,Am-C-G,Am-C-G-C
Lover,it's nice to have a friend,Taylor Swift Louis Bell Adam King Feeney,0,Am-G,Am-G,School bell rings  walk me home/Sidewalk chalk  covered in snow/Lost my gloves  you gave me one/Wanna hang out? Yeah  sounds like fun/Video games  you pass me a note/Sleeping in tents/It’s nice to have a friend/It’s nice to have a friend,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Am-G,NONE,True,False,its nice to have a friend,97,Am-G,Am-G,NONE,NONE,NONE,NONE,Am-G
Midnights,midnight rain,Taylor Swift Jack Antonoff,0,NONE,F-C-C-G-Am-F,My town was a wasteland/Full of cages full of fences/Pageant queens and big pretenders/But for some it was paradise/ My boy was a montage/A slow-motion love potion/Jumping off things in the ocean/ I broke his heart 'cause he was nice/He was sunshine I was midnight rain,C-G-Am-F-C-G-Am,He wanted it comfortable I wanted that pain/He wanted a bride I was making my own name/Chasing that fame he stayed the same/All of me changed like midnight,NONE,NONE,NONE,NONE,F-C-G-Am,I guess sometimes we all get/Just what we wanted just what we wanted/And he never thinks of me/Except for when I'm on TV/I guess sometimes we all get,NONE,NONE,False,False,midnight rain,119,NONE,F-C-C-G-Am-F,C-G-Am-F-C-G-Am,NONE,NONE,F-C-G-Am,NONE
The Tortured Poets Department,the manuscript,Taylor Swift,0,C-G-G-F,C-G-G-F,Now and then she rereads the manuscript/Of the entire torrid affair/They compared their licenses/He said 'I'm not a donor but/I’d give you my heart if you needed it’/She rolled her eyes and said/‘You're a professional’,NONE,NONE,NONE,NONE,NONE,NONE,G-Am-F-G-C-F,And the years passed/Like scenes of a show/The Professor said to write what you know/Lookin’ backwards/Might be the only way to move forward/Then the actors/Were hitting their marks,NONE,NONE,True,False,the manuscript,105,C-G-G-F,C-G-G-F,NONE,NONE,NONE,G-Am-F-G-C-F,NONE
1989 (Taylor's Version),bad blood (taylor's version),Taylor Swift   Max Martin   Shellback,0,N.C,C-G-D-Em,Did you have to do this?/I was thinking that you could be trusted/Did you have to ruin what was shiny?/Now it's all rusted/Did you have to hit me where I'm weak?/Baby   I couldn't breathe/And rub it in so deep/Salt in the wound like you're laughin' right at me,C-G-D-Em,Oh   it's so sad to/Think about the good times/You and I,N.C-C-G-D-Em,Cause   baby   now we got bad blood/You know it used to be mad love/So take look what you've done/'Cause   baby   now we got bad blood   hey/Now we got problems/And I don't think we can solve them/You made really deep cut/And   baby   now we got bad blood   hey,NONE,NONE,C-G-D-Em,Band-aids don't fix bullet holes/You say sorry just for show/If you live like that   you live with ghosts/Band-aids don't fix bullet holes (Hey)/You say sorry just for show (Hey)/If you live like that   you live with ghosts (Hey)/mmmIf you love like that   blood runs cold,NONE,NONE,False,False,bad blood taylors version,19,N.C,C-G-D-Em,C-G-D-Em,N.C-C-G-D-Em,NONE,C-G-D-Em,NONE
The Tortured Poets Department,florida!!! (featuring florence + the machine),Taylor Swift Florence Welch,0,NONE,F-Am-G,You can beat the heat if you beat the charges too/They said I was a cheat I guess it must be true/And my friends all smell like weed or little babies/And the city reeks of driving myself crazy,F-Am-G,Little did you know your home's really only/A town you're just a guest in/So you work your life away just to pay/For a time-share down in Destin,G-F-G-F,Florida/Is one hell of a drug/Florida/Can I use you up?,NONE,NONE,G-F-C-G-Am-F-C,I need to forget so take me to Florida/I’ve got some regrets I'll bury thEm in Florida/Tell me I'm despicable say it's unforgivable/At least the dolls are beautiful fuck me up Florida/I need to forget so take me to Florida,NONE,NONE,True,False,florida!!! featuring florence + the machine,218,NONE,F-Am-G,F-Am-G,G-F-G-F,NONE,G-F-C-G-Am-F-C,NONE
1989 (Taylor's Version),'slut!' (taylor's version) (from the vault),Taylor Swift   Jack Antonoff   Patrik Berger,0,D,D-Bm-F#m-G,Flamingo pink   Sunrise Boulevard/Clink   clink   being this young is art/Aquamarine   moonlit swimming pool/What if   all I need is you?,D-Bm-F#m-G,Got love-struck   went straight to my head/Got lovesick all over my bed/Love to think you'll never forget/Handprints in wet cement/Adorned with smoke on my clothes/Lovelorn and nobody knows//Love thorns all over this rose/I’ll pay the price   you won’t,G-F#m-Bm-A,But if I'm all dressed up/They might as well be lookin’ at us/And if they call me slut/You know it might be worth it for once/And if I'm gonna be drunk/I might as well be drunk in love,NONE,NONE,D-Bm-F#m,Half asleep   takin' your time/In the tangerine   neon light   this is luxury/You’re not sayin' you're in love with me/But you're going to/Half awake   takin' your chances/It's big mistake   I said   'It might blow up in your/Pretty face'   I'm not saying   'Do it anyway' (Do it anyway)/But you're going to,G-F#m-Bm-NC,Up!/And if they call me slut!/You know it might be worth it for once/And if I'm gonna be drunk!/I might as well be drunk in love,False,False,slut! taylors version from the vault,12,D,D-Bm-F#m-G,D-Bm-F#m-G,G-F#m-Bm-A,NONE,D-Bm-F#m,G-F#m-Bm-NC
Taylor Swift,tim mcgraw,Taylor Swift Liz Rose,5,NONE,G-Em7-Cadd9-Dsus4-D,He said the way my blue eyes shined/Put those Georgia stars to shame that night/I said that’s a lie/Just a boy in a Chevy truck that had a tendency/Of getting stuck on back roads at night/And I was right there beside him all summer long/And then the time we woke up to find that summer gone but,NONE,NONE,G-Em7-Cadd9-Dsus4-D-Dsus2,When you think Tim McGraw I hope you think my favorite song/The one we danced to all night long/The moon like a spotlight on the lake/When you think happiness I hope you think that little black dress/Think of my head on your chest and my old faded blue jeans/When you think Tim McGraw ... I hope you think of me,NONE,NONE,Cadd9-Dsus4-D-Dsus2,And I’m back for the first time since then/I’m standing on your street/And there’s a letter left on your doorstep/And the first thing that you’ll read,G-Em7-Cadd9-Dsus4-D-G,He said the way my blue eyes shined/Put those Georgia stars to shame that night/I said that’s a lie,False,False,tim mcgraw,36,NONE,C-Am7-Fadd9-Gsus4-G,NONE,C-Am7-Fadd9-Gsus4-G-Gsus2,NONE,Fadd9-Gsus4-G-Gsus2,C-Am7-Fadd9-Gsus4-G-C
Folklore,mad woman,Taylor Swift  Aaron Dessner,1,Em-G-D,Bm-D-A-A-Bm-D-A-Em-G-D,What did you think I'd say to that?/Does a scorpion sting when fighting back?/They strike    to kill  and you know I will/You know I will/What do you sing on your drive home?/Do you see my face in the neighbor's lawn?/Does she smile?/Or does she mouth  'Fuck you forever’?,G-D-A-G-D,Every time you call me crazy  I get more crazy/What about that?/And when you say I seem angry  I get more angry,G-Em-D-G-D-A,And there's nothing like a mad woman/What a shame she went mad/No one likes a mad woman/You made her like that/And you'll poke that bear 'til her claws come out/And you find something to wrap your noose around/And there's nothing like a mad  woman,NONE,NONE,G-Em-D-G-D-A,I’m taking my time  taking my time/‘Cause you took everything from me/Watching you climb  watching you climb/Over people like me/The master of spin has a couple side flings/Good wives always know/She should be mad  should be scathing like me  but/No one likes a mad   woman,A-G-Em-Bm-G-D-A,What a shame she went mad/You made her like that,False,False,mad woman,94,Fm-G#-D#,Cm-D#-A#-A#-Cm-D#-A#-Fm-G#-D#,G#-D#-A#-G#-D#,G#-Fm-D#-G#-D#-A#,NONE,G#-Fm-D#-G#-D#-A#,A#-G#-Fm-Cm-G#-D#-A#
Fearless (Taylor's Version),fifteen (taylor's version),Taylor Swift,0,G-C-Em-C,G-C-Em-C,You take a deep breath and you walk through the doors/It’s the mornin' of your very first day/You say hi to your friends you ain't seen in a while/Try and stay out of everybody's way/ It's your freshman year and you're gonna be here/For the next four years in this town/Hopin’ one of those senior boys will wink at you and say/ 'You know  I haven't seen you around before’,NONE,NONE,G-Em-D-C,’Cause when you're fifteen and  somebody tells you they love you/You’re gonna believe them/And when you're fifteen  feelin' like there's nothin' to figure out/Well  count to ten  take it in/ This is life before you know who you're gonna be/ At fifteen,G-C-Em-C,La-la-la  la-la-la  la-la-la-la,C-Em-D-G-D,When all you wanted was to be wanted/Wish you could go back and tell yourself what you know now/ Back then  I swore I was gonna marry him someday/But I realized some bigger dreams of mine/And Abigail gave everything she had/To a boy who changed his mind/And we both cried,G-C-Em-C,Your very first day/Take a deep breath  girl/Take a deep breath as you walk through the doors,False,False,fifteen taylors version,68,G-C-Em-C,G-C-Em-C,NONE,G-Em-D-C,G-C-Em-C,C-Em-D-G-D,G-C-Em-C
Taylor Swift,stay beautiful,Taylor Swift Liz Rose,1,G-Cadd9-D-Em-C-Dsus4-Dsus2,Cadd9-Dsus4-G-D-Em,Cory’s eyes are like a jungle/He smiles it’s like the radio/He whispers songs into my window/In words nobody knows/There’s pretty girls on every corner/That watch him as he’s walking home,A-C-D,Saying does he know/Will you ever know,G-Em-C-Dsus4-D-Dsus2-D,You’re beautiful/Every little piece love don’t you know/You’re really gonna be someone ask anyone/When you find everything you looked for/I hope your life leads you back to my door/Oh but if it don’t/Stay beautiful,NONE,NONE,Em-C-G-D-C,If you and I are a story/That never gets told/If what you are is a daydream/I’ll never get to hold at least you’ll know,C-Dsus4-D-Dsus2-D-G,Na na na na na,False,False,stay beautiful,31,G#-C#add9-D#-Fm-C#-D#sus4-D#sus2,C#add9-D#sus4-G#-D#-Fm,A#-C#-D#,G#-Fm-C#-D#sus4-D#-D#sus2-D#,NONE,Fm-C#-G#-D#-C#,C#-D#sus4-D#-D#sus2-D#-G#
Midnights,high infidelity,Taylor Swift Aaron Dessner,3,NONE,G-Em-C-G-D,Lock broken slur spoken/Wound open game token/I didn't know you were keeping count/Rain soaking blind hoping/You said I was freeloading/I didn't know you were keeping count,NONE,NONE,G-Em-C-D-G,High infidelity/Put on your records and regret me/I bent the truth too far tonight/I was dancing around dancing around it/ High infidelity/Put on your headphones and burn my city/Your picket fence is sharp as knives/I was dancing around dancing around it,G-D-Am,Do you really wanna know where I was April 29th?/Do I really have to chart the constellations in his eyes?,NONE,NONE,G-Em-C-G-D,Lock broken slur spoken/Wound open game token/I didn't know you were keeping count/Rain soaking blind hoping/EmYou said I was freeloading/I didn't know you were keeping count/But oh you were keeping count,False,False,high infidelity,127,NONE,A#-Gm-D#-A#-F,NONE,A#-Gm-D#-F-A#,A#-F-Cm,NONE,A#-Gm-D#-A#-F
Midnights,glitch,Taylor Swift Jack Antonoff Mark Spears Sam Dew,2,NONE,G-Em-G-Em-C-D,We were supposed to be just friends/You don't live in my part of town but maybe I'll see you out some weekend/Depending on what kind of mood and situationship I'm in/And what's in my system,NONE,NONE,G-Em-C-D,I think there's been a glitch oh yeah/Five seconds later I'm fastening myself to you with a stitch oh yeah/And I'm not even sorry nights are so starry/Blood moonlit/It must be counterfeit/I think there's been a glitch oh yeah,NONE,NONE,C-D-G-Em,A brief interruption a slight malfunction/I’d go back to wanting dudes who give nothing/I thought we had no chance/And that's romance let's dance,NONE,NONE,False,False,glitch,126,NONE,A-F#m-A-F#m-D-E,NONE,A-F#m-D-E,NONE,D-E-A-F#m,NONE
The Tortured Poets Department,fresh out the slammer,Taylor Swift Jack Antonoff,2,G-Em-C,G-Em-C,Another summer taking cover rolling thunder/CHe don't understand me/Splintered back in winter silent dinners bitter/He was with her in dreAms/Gray and blue and fights and tunnels/Handcuffed to the spell I was under,NONE,NONE,G-Em-C,Now pretty baby/I’m running back home to you/Fresh out the slAmmer I know who my first call will be to/(Fresh out the slAmmer oh),NONE,NONE,NONE,NONE,C-G-Em-C,To the house where you still wait up and that porch light gleAms (GleAms)/To the one who says I'm the girl of his American dreAms/And no matter what I've done it wouldn't matter anyway,False,False,fresh out the slammer,229,A-F#m-D,A-F#m-D,NONE,A-F#m-D,NONE,NONE,D-A-F#m-D
RED (Taylor's Version),sad beautiful tragic (taylor's version),Taylor Swift,0,G-D-Am-C,G-D-Am-C,Long handwritten notes deep in your pocket/Words how little they mean when you're a little too late/I stood right by the tracks your face in a locket/Good girls hopeful they'll be and long they will wait,NONE,NONE,G-D_Am-C,We had a beautiful magic love there/What a sad beautiful tragic love affair,NONE,NONE,Am-C-G-D-Am-G-C,Distance timin' breakdown fighting/Silence the train runs off its tracks/Kiss me try to fix it could you just try to listen?/Hang up give up and for the life of us we can't get back,NONE,NONE,False,False,sad beautiful tragic taylors version,164,G-D-Am-C,G-D-Am-C,NONE,G-D_Am-C,NONE,Am-C-G-D-Am-G-C,NONE
Lover,false god,Taylor Swift Jack Antonoff,0,NONE,Em7-A-D7-G-A-D7,We were crazy to think  crazy to think that this could work/Remember how I said I'd die for you?.We were stupid to jump in the ocean separating us/Remember how I'd lie to you?,Em7-Em7-D7-G-G-D7,And I can't talk to you when you're like this/Staring out the window like I'm not your favorite town/I’m New York City  I still do it for you  babe/They all warned us about times like this/They say the road gets hard and you get lost/When you're led by blind faith  blind faith,G-D7-A-G,But we might just get away with it/Religion’s in your lips/Even if it's a false god (We'd still worship)/We might just get away with it/The altar is my hips/Even if it's a false god/We’d still worship this love/We’d still worship this love,NONE,NONE,NONE,NONE,G-G-A-D7-G,Still worship this love/Even if it's a false god/Even if it's a false god/Still worship this love,False,False,false god,112,NONE,Em7-A-D7-G-A-D7,Em7-Em7-D7-G-G-D7,G-D7-A-G,NONE,NONE,G-G-A-D7-G
Taylor Swift,invisible,Taylor Swift Ellis Orrall,0,G-Cadd9-Em7-Cadd9,G-D-Am-C,She can't see the way your eyes/Will light up when you smile/She’ll never notice how you stop and stare/Whenever she walks by,C-D,And you can't see me wanting you the way you want her/But you are everything to me,G-D-Em7-D,And I just want to show you/She don't even know you/She’s never gonna love you like I want to/And you just see right through me/But if you only knew me/We could be a beautiful miracle unbelievable/Instead of just invisible yeah,NONE,NONE,G-D-Em-C,Like shadows in the faded light/Oh we’re invisible/I just wanna open your eyes/And make you realize,G-D-Am-C,She can't see the way your eyes/Will light up when you smile,False,False,invisible,35,G-Cadd9-Em7-Cadd9,G-D-Am-C,C-D,G-D-Em7-D,NONE,G-D-Em-C,G-D-Am-C
Fearless (Taylor's Version),tell me why (taylor's version),Taylor Swift Liz Rose,0,NONE,C-G-D-Em,I took a chance  I took a shot/ And you might think I'm bulletproof  but I'm not/You took a swing  I took it hard/ And down here from the ground  I see who you are,NONE,NONE,G-D-Em-C,I'm sick and tired of your attitude/I’m feelin' like I don't know you/You tell me that you love me  then cut me down/And I need you like a heartbeat/But you know you got a mean streak/Makes me run for cover when you're around/Here’s to you and your temper/Yes  I remember what you said last night/And I know that you see what you're doing to me/Tell me why,NONE,NONE,Em-C-G-D-A-G-D,Why do you have to make me feel small/So you can feel whole inside?/Why do you have to put down my dreams/So you're the only thing on my mind?,C-G-D-Em-G,I take a step back  I let you go/I told you I'm not bulletproof  now you know,False,False,tell me why taylors version,79,NONE,C-G-D-Em,NONE,G-D-Em-C,NONE,Em-C-G-D-A-G-D,C-G-D-Em-G
The Tortured Poets Department,down bad,Taylor Swift Jack Antonoff,4,NONE,G-D-Bm-C,Did you really beAm me up?/In a cloud of sparkling dust/Just to do experiments on/Tell me I was the chosen one/Showed me that this world is bigger than us/Then sent me back where I cAme from,G,For a moment I knew cosmic love,G-D-Em-C,Now I'm down bad crying at the gym/Everything comes out teenage petulance/'Fuck it if I can't have him’/'I might just die it would make no difference’,NONE,NONE,G-Em-C,I loved your hostile take-overs/Encounters closer and closer/All your indecent exposures/How dare you say that it’s,G-Bm-Em-C,Like I lost my twin/Fuck it if I can't have him/Down bad (Waving at the ship)/Fuck it if I can't have him,False,False,down bad,223,NONE,B-F#-D#m-E,B,B-F#-G#m-E,NONE,B-G#m-E,B-D#m-G#m-E
Speak Now(Taylor’s Version),electric touch(taylor's version) (from the vault),Taylor Swift,0,G-Am-Em-C,G-Am-Em-C,Just breathe  just relax  it'll be okay/Just an hour til your car's in the driveway/Just the first time ever hanging out with you tonight/I've got my money on things going badly/Got a history of stories ending sadly/Still hoping that the fire won't burn me/Just one time  just one time,NONE,NONE,G-D-Em-C,All I know is this could either break my heart or bring it back to life/Got a feeling your electric touch could fill this ghost town up with life/And I want you now  wanna need you forever/In the heat of your electric touch mmm,NONE,NONE,C-Em-C-D,I was thinking just one time (Just one time)/Maybe the stars align (Just one time)/And maybe I call you mine/And you won't need space/Or string me along while you decide/And just one time (Just one time)/Maybe the moment's right (The moment's right)/It’s 8:05 and I see two headlights,NONE,NONE,False,False,electric touchtaylors version from the vault,198,G-Am-Em-C,G-Am-Em-C,NONE,G-D-Em-C,NONE,C-Em-C-D,NONE
Taylor Swift,teardrops in my guitar,Taylor Swift Liz Rose,3,NONE,G-Em-C-D,Drew looks at me I fake a smile so he won’t see/That I want and I’m needing everything that we should be/I’ll bet she’s beautiful that girl he talks about/And she’s got everything that I have to live without,NONE,NONE,G-D-Em-C,He’s the reason for the teardrops on my guitar/The only thing that keeps me wishing on a wishing star/He’s the song in the car I keep singing don’t know why I do,NONE,NONE,Em-C-G-D,So I drive home alone as I turn out the light/I put his picture down and maybe get some sleep tonight,G-Em-C-D-G,Drew looks at me I fake a smile so he won’t see,False,False,teardrops in my guitar,27,NONE,A#-Gm-D#-F,NONE,A#-F-Gm-D#,NONE,Gm-D#-A#-F,A#-Gm-D#-F-A#
1989 (Taylor's Version),welcome to new york (taylor's version),Taylor Swift Ryan Tedder,0,C,C,Walkin' through crowd the village is aglow/Kaleidoscope of loud heartbeats under coats/Everybody here wanted somethin' more/Searchin’ for sound we hadn't heard before/And it said,NONE,NONE,G-D-C/G-D-C-Em,it's been waitin' for you/Welcome to New York welcome to New York/Welcome to New York it's been waitin' for you/Welcome to New York welcome to New York/It’s new soundtrack I could dance to this beat beat forevermore/The lights are so bright but they never blind me me/Welcome to New York it's been waitin' for you/Welcome to New York   welcome to New York,NONE,NONE,Em-D-C/G-D-C,Like any great love it keeps you guessing/Like any real love it's ever-changing/Like any true love it drives you crazy/But you know you wouldn't change anything   anythin nything,NONE,NONE,False,False,welcome to new york taylors version,18,C,C,NONE,G-D-C/G-D-C-Em,NONE,Em-D-C/G-D-C,NONE
Lover,lover,Taylor Swift,0,G-D-C-C-G-Em-C-C,G-D-C,We can leave the Christmas light up till January/And this is our place  we made the rules/And there's a dazzling haze/A mysterious way about you  dear/Have I known you twenty seconds or twenty years?,NONE,NONE,G-D-C-G-Gm-D-C,Can I go where you go?/Can we always be this close forever and ever and ah/Take me out and take me home/You’re my  my   my  my    lover,NONE,NONE,G-D-Em-F,Ladies and gentlemen/Will you please stand?/With every guitar string scar on my hand/I take this magnetic force of a man to be my lover,G-G-Em-D-C,You're my  my   my  my,False,False,lover,103,G-D-C-C-G-Em-C-C,G-D-C,NONE,G-D-C-G-Gm-D-C,NONE,G-D-Em-F,G-G-Em-D-C
RED (Taylor's Version),22 (taylor's version),Taylor Swift Max Martin Shellback,0,G-D-C-D,G-D-C-D,It feels like a perfect night/To dress up like hipsters/And make fun of our exes/Uh-uh uh-uh/It feels like a perfect night/For breakfast at midnight/To fall in love with strangers/Uh-uh uh-uh,G-D-C-D-C,Yeah/We’re happy free confused and lonely at the same time/It’s miserable and magical oh yeah/Tonight’s the night when we forget about the deadlines/It’s time oh-oh,G-D-C-Em-D,I don't know about you/But I'm feelin' twenty-two/Everything will be alright if/You keep me next to you/You don't know about me/But I'll bet you want to/Everything will bе alright if/We just keep dancin' like we’rе/Twenty-twoTwentytwo,NONE,NONE,NONE,NONE,C-Em-D-G,Yeahhey yeah,False,False,22 taylors version,156,G-D-C-D,G-D-C-D,G-D-C-D-C,G-D-C-Em-D,NONE,NONE,C-Em-D-G
Midnights,would've could've should’ve,Taylor Swift Aaron Dessner,0,D-Em-Gm,D-Em-G,If you would've blinked then I would’ve/Looked away at the first glance/ If you tasted poison you could’ve/Spit me out at the first chance/ And if I was some paint did it splatter/ On a promising grown man?/ And if I was a child did it matter/If you got to wash your hands?,D-Em-G-D,Ooh all I used to do was pray/Would’ve could've should’ve/If you'd never looked my way,G-D-C,I would've stayed on my knees/And I damn sure never would've danced with the devil/ At nineteen/And the God's honest truth is that the pain was heaven/ And now that I'm grown I'm scared of ghosts/Memories feel like weapons/And now that I know I wish you'd left me wondering,NONE,NONE,G-D-C-G-D,God rest my soul/I miss who I used to be/The tomb won't close/Stained glass windows in my mind/I regret you all the time/I can't let this go/I fight with you in my sleep/The wound won't close/I keep on waiting for a sign/I regret you all the time,BRIDGE,BRIDGE,True,False,wouldve couldve should’ve,125,D-Em-Gm,D-Em-G,D-Em-G-D,G-D-C,NONE,G-D-C-G-D,BRIDGE
Evermore,willow,Taylor Swift Aaron Dessner,0,Em-D-Em-D,Em-D-Em-D,I'm like the water when your ship rolled in that night/Rough on the surface  but you cut through like a knife/And if it was an open-shut case/I never would've known from that look on your face/Lost in your current like a priceless wine,NONE,NONE,G-D-Am-Em,The more that you say  the less I know/Wherever you stray  I follow/I’m begging for you to take my hand/Wreck my plans  that's my man,NONE,NONE,Bm-Em-Am-G,Life was a willow and it bent right to your wind/They count me out time and time again/Life was a willow and it bent right to your wind/But I come back stronger than a '90s trend,D-Am-Em,Hey  that's my man/That’s my man/Yeah  that's my man/Every bait-and-switch was a work of art/That’s my man/Hey  that's my man/I’m begging for you to take my hand/Wreck my plans  that's my man,True,False,willow,38,Em-D-Em-D,Em-D-Em-D,NONE,G-D-Am-Em,NONE,Bm-Em-Am-G,D-Am-Em
Taylor Swift,i'm only me when i'm with you,Taylor Swift Ellis Orrall Angela Petraglia,1,G,G-D-C-Em-Am-D,Friday night beneath the stars/In a field behind your yard/You and I are painting pictures in the sky/And sometimes we don't say a thing/Just listen to the crickets sing/Everything I need is right here by my side,C-Em-Am-D,And I know everything about you/I don't wanna live without you,G-D-Am-C-G-C-D,I'm only up when you're not down/Don’t wanna fly if you're still on the ground/It’s like no matter what I do/Well you drive me crazy half the time/The other half I'm only trying to/Let you know that what I feel is true/And I'm only me when I'm with you,NONE,NONE,Em-C-Am-C,When I'm with anybody else/It's so hard to be myself/And only you can tell,C-D-Am-,And I'm only me/Who I wanna be/Well I'm only me when I'm with you/With you oh ho ho yeah,False,False,im only me when im with you,34,G#,G#-D#-C#-Fm-A#m-D#,C#-Fm-A#m-D#,G#-D#-A#m-C#-G#-C#-D#,NONE,Fm-C#-A#m-C#,C#-D#-A#m-
1989 (Taylor's Version),wildest dreams (taylor's version),Taylor Swift   Max Martin  Shellback,1,C-Em-D,C-Em-D,He said   'Let's get out of this town/Drive out of the city   away from the crowds'/I thought   'Heaven can't help me now'/Nothing lasts forever/But this is gonna take me down,Em-D-C-Em,He’s so tall and handsome as hell/He's so bad   but he does it so well/I can see the end as it begins/My one condition is,G-D-Am-C,Say you'll remember me/Standin' in nice dress/Starin’ at the sunset   babe/Red lips and rosy cheeks/Say you'll see me again/Even if it's just in your/Wildest dreams   ah   ha/Wildest dreams   ah   ha,NONE,NONE,G-D-Am-C,You’ll see me in hindsight/Tangled up with you all night/Burnin’ it down/Someday   when you leave me/I bet these memories Follow you around/You’ll see me in hindsight/Tangled up with you all night Burnin’ (Burnin’)  it (It) down (Down)/Someday when you leave me/I bet these memories/Follow (Follow) you (You) around (Around)/(Follow you around),NONE,NONE,False,False,wildest dreams taylors version,11,C#-Fm-D#,C#-Fm-D#,Fm-D#-C#-Fm,G#-D#-A#m-C#,NONE,G#-D#-A#m-C#,NONE
Speak Now(Taylor’s Version),speak now (taylor's version),Taylor Swift,0,G,G-D-Am-C,I am not the kind of girl/Who should be rudely barging in/On a white veil occasion/But you are not the kind of boy/Who should be marrying the wrong girl,Am-C-G-D,This is surely not/What you thought it would be/I lose myself in a daydream/Where I stand and say,G-D-Am-C,Don't say 'Yes' run away now/I'll meet you when you're out. Of the church at the back door/Don't wait or say a single vow/You need to hear me out/And they said ‘Speak Now’,NONE,NONE,Em-C-G-D-Am-C-D,I hear the preacher say speak now/Or forever hold your peace/There's a silence  there's my last chance/I stand up with shaky hands/All eyes on me/Horrified looks from everyone in the room/But I'm only lookin' at you,NONE,NONE,True,False,speak now taylors version,188,G,G-D-Am-C,Am-C-G-D,G-D-Am-C,NONE,Em-C-G-D-Am-C-D,NONE
Speak Now(Taylor’s Version),superman (taylor's version),Taylor Swift,0,G-D-Am-C,G-D-Am-C,Tall dark and Superman/He puts papers in his briefcase and drives away/To save the world or go to work/It’s the same thing to me/He’s got his mothers eyes his fathers ambition/I wonder if he knows how much that I miss him/I hang on every word you   say,D-Em-C-G-D,And you'll smile and say how are you/I’ll say just fine/I always forget to tell you  I love you  I love you forever,G-D-Am-C,I watch Superman fly away/You’ve got a busy day today/Go save the world I'll be around/And I watch Superman fly away/Come back I'll be with you someday/I’ll be right here on the ground/When you come back down,NONE,NONE,Am-C-G-D,And I watch you fly around the world/And I hope you don't save some other girl/Don’t forget  don't forget about me/I'm far away but I never let you go/I'm love struck and looking out the window/Don’t forget  don't forget where I'll be/Right here wishing the flowers were from you/Wishing the card was from you/Wishing the call was from you/‘Cause I loved you from the very first day,NONE,NONE,False,False,superman taylors version,199,G-D-Am-C,G-D-Am-C,D-Em-C-G-D,G-D-Am-C,NONE,Am-C-G-D,NONE
RED (Taylor's Version),i almost do (taylor's version),Taylor Swift,2,G-D-A-Bm,G-D-A-Bm-A,I bet this time of night you're still up/I bet you're tired from a long hard week/I bet you're sittin' in your chair by the window lookin' out at the city/And I bet sometimes you wonder 'bout me,NONE,NONE,G-D-A-G-BmA-D,And I just wanna tell you/It takes everything in me not to call you/And I wish I could run to you/And I hope you know that/Every time I don't I almost do/I almost do,G-D-A,(Ooh),Bm-G-A-D,Oh we made quite a mess babe/It’s probably better off this way/And I confess babe/In my dreams you're touchin' my face/And asking me if I'd wanna try again with you/And I almost do,G-D-A-Bm-A,I bet this time of night you’re still up/I bet you're tired from a long hard week/I bet you're sittin' in your chair by the window lookin' out at the city/And I hope sometimes you wonder 'bout me,False,False,i almost do taylors version,146,A-E-B-C#m,A-E-B-C#m-B,NONE,A-E-B-A-C#mA-E,A-E-B,C#m-A-B-E,A-E-B-C#m-B
RED (Taylor's Version),red (taylor's version),Taylor Swift,2,G-Bm-A,G-Bm-A,Loving him is like driving a new Maserati down a dead-end street/Faster than the wind passionate as sin ending so suddenly/Loving him is like trying to change your mind once you're already flying through the free fall/Like the colors in autumn so bright just before they lose it all,NONE,NONE,G-D-A-G-Bm-A,Losing him was blue like I'd never known/Missing him was dark gray all alone (Woah)/Forgetting him was like tryin' to know somebody you never met/But loving him was red (Red red)/(Red red)/But loving him was red (Red red)/(Red red),G-Bm-A-D-A,And that's why he's spinning 'round in my head (Red red)/Comes back to me burning red (Red red)/Yeah yeah (Red red),G-A,Remembering him comes in flashbacks and echoes/Tell myself it's time now gotta let go/But moving on from him is impossible when I still see it all in my head/In burning red/Burning it was red,G-Bm-A,His love was like driving a new Maserati down a dead-end street,False,False,red taylors version,144,A-C#m-B,A-C#m-B,NONE,A-E-B-A-C#m-B,A-C#m-B-E-B,A-B,A-C#m-B
